Index	 RAT	 CFU	 HW	 Proj	 EXAM	
1	 59.56	 93.50	 87.25	 86.53	 82.43	
2	 60.89	 96.25	 87.75	 94.42	 81.75	
3	 76.44	 94.25	 88.50	 88.06	 50.42	
4	 75.55	 97.25	 98.00	 97.62	 93.48	
5	 90.22	 95.50	 84.00	 87.37	 88.20	
6	 35.11	 57.25	 0.00	 52.00	 75.88	
7	 67.55	 97.50	 97.50	 45.84	 41.73	
8	 90.67	 99.00	 98.75	 97.13	 88.86	
9	 58.67	 98.50	 82.75	 79.12	 82.97	
10	 87.78	 97.25	 47.25	 89.04	 81.87	
11	 61.78	 98.50	 68.25	 84.97	 82.58	
12	 79.55	 96.00	 84.50	 88.03	 81.41	
13	 78.45	 96.00	 57.50	 87.33	 80.75	
14	 78.00	 94.00	 85.00	 75.71	 78.73	
15	 71.11	 95.50	 100.00	 90.22	 80.75	
16	 90.00	 99.25	 80.00	 82.89	 82.83	
17	 58.67	 96.00	 80.50	 83.69	 85.32	
18	 46.22	 98.00	 83.50	 51.36	 89.39	
19	 88.89	 96.25	 97.00	 95.91	 77.69	
20	 81.11	 95.00	 80.00	 88.29	 82.72	
21	 94.89	 99.25	 100.00	 98.75	 87.20	
22	 83.55	 95.75	 78.25	 94.42	 76.03	
23	 91.55	 98.50	 100.00	 97.78	 92.83	
24	 44.45	 97.75	 61.75	 26.77	 80.83	
25	 67.11	 99.75	 77.50	 89.89	 84.27	
26	 78.22	 93.25	 100.00	 84.44	 84.78	
27	 46.67	 91.25	 42.50	 77.72	 76.91	
28	 88.89	 99.50	 88.50	 96.16	 82.83	
29	 66.67	 95.50	 61.75	 87.11	 80.54	
30	 68.44	 97.50	 66.50	 76.54	 82.83	
31	 67.33	 94.95	 62.25	 72.64	 83.65	
32	 90.00	 99.75	 98.50	 96.77	 83.77	
33	 69.33	 93.00	 47.50	 61.74	 74.00	
34	 81.33	 95.00	 84.25	 87.45	 85.06	
35	 78.67	 97.75	 100.00	 94.33	 87.02	
36	 94.22	 99.25	 100.00	 96.56	 84.31	
37	 87.77	 99.00	 98.50	 97.81	 87.36	
38	 93.33	 96.75	 100.00	 93.72	 80.91	
39	 78.89	 98.25	 95.00	 90.94	 81.55	
40	 76.67	 91.50	 78.75	 82.71	 84.78	
41	 13.33	 40.00	 0.00	 6.25	 20.79	
42	 60.22	 97.75	 100.00	 96.12	 82.54	
43	 79.55	 98.50	 88.00	 88.22	 87.33	
44	 60.67	 73.25	 52.75	 78.65	 74.81	
45	 83.78	 98.25	 87.25	 94.90	 81.55	
46	 92.89	 99.25	 95.50	 95.06	 85.38	
47	 76.45	 95.75	 93.75	 81.61	 88.20	
48	 75.55	 97.75	 97.50	 92.36	 85.07	
49	 74.89	 93.50	 86.00	 75.09	 78.73	
50	 84.00	 99.50	 100.00	 95.69	 85.77	
51	 55.11	 97.25	 80.50	 86.06	 63.90	
52	 73.77	 97.00	 79.00	 95.56	 85.45	
53	 84.45	 97.00	 97.00	 84.51	 83.72	
54	 94.22	 97.25	 98.50	 94.28	 93.48	
55	 69.33	 96.85	 95.00	 88.09	 79.77	
56	 54.45	 98.25	 98.00	 74.26	 78.24	
57	 64.89	 96.25	 82.50	 82.22	 89.99	
58	 75.33	 97.25	 88.75	 86.95	 93.48	
59	 59.77	 92.50	 89.00	 78.11	 77.43	
60	 78.00	 93.75	 75.50	 92.09	 66.27	
61	 58.45	 95.25	 0.00	 11.88	 73.37	
62	 73.78	 96.25	 100.00	 70.09	 77.69	
63	 74.67	 97.75	 100.00	 79.34	 75.44	
64	 83.55	 94.50	 81.25	 90.76	 78.65	
65	 81.55	 98.25	 98.75	 95.68	 89.39	
66	 89.55	 97.00	 98.50	 96.72	 89.99	
67	 81.33	 97.50	 100.00	 86.66	 82.46	
68	 57.33	 92.75	 65.50	 83.81	 78.37	
69	 82.22	 93.20	 60.50	 92.56	 83.65	
70	 60.89	 98.75	 96.00	 52.69	 41.73	
71	 78.67	 96.75	 98.00	 91.33	 81.87	
72	 64.44	 93.50	 95.75	 88.48	 55.42	
73	 92.67	 92.75	 93.00	 94.88	 82.72	
74	 59.33	 93.50	 0.00	 82.58	 78.83	
75	 70.67	 92.25	 83.75	 85.65	 68.63	
76	 76.00	 97.10	 93.00	 96.38	 79.73	
77	 89.33	 98.25	 97.00	 97.34	 86.86	
78	 82.89	 98.00	 100.00	 94.08	 85.83	
79	 80.89	 99.00	 97.00	 94.96	 87.86	
80	 46.45	 96.50	 73.00	 84.24	 75.53	
81	 62.23	 89.75	 57.25	 77.56	 74.81	
82	 64.45	 98.25	 82.00	 85.37	 87.20	
83	 69.11	 99.25	 0.00	 72.07	 82.20	
84	 60.89	 98.75	 83.50	 86.94	 82.97	
85	 84.44	 97.75	 100.00	 90.38	 85.07	
86	 74.67	 76.25	 82.25	 86.28	 45.41	
87	 72.44	 99.75	 97.50	 93.34	 89.19	
88	 46.45	 90.50	 75.00	 51.94	 51.30	
89	 72.23	 98.50	 65.00	 87.72	 86.86	
90	 45.77	 94.25	 87.50	 57.53	 73.00	
91	 37.33	 98.00	 86.75	 83.98	 85.38	
92	 81.77	 97.25	 100.00	 95.69	 86.19	
93	 78.22	 99.25	 90.75	 93.58	 87.16	
94	 38.67	 96.50	 0.00	 11.25	 77.46	
95	 69.78	 82.75	 88.75	 86.42	 86.25	
96	 90.22	 99.00	 98.00	 94.69	 84.31	
97	 43.11	 92.75	 85.75	 31.73	 66.27	
98	 86.67	 98.25	 81.25	 95.23	 87.18	
99	 26.00	 48.00	 0.00	 40.97	 78.65	
100	 84.00	 97.25	 97.50	 97.34	 93.48	
101	 79.33	 96.00	 98.00	 91.25	 74.74	
